Index,Weight(Pounds)
3,153.0269
23,97.90191
31,103.3016
57,155.8987
69,103.5275
74,102.8351
83,155.3767
101,102.0927
104,98.64133
139,151.3913
157,158.9562
190,101.4693
210,155.9414
250,84.3598
273,100.627
284,102.8114
286,100.9758
288,155.3046
294,92.74955
312,151.9118
333,150.7397
362,152.0714
368,168.229
379,100.6617
405,151.0695
447,162.4109
463,153.0797
473,93.99438
519,101.8549
534,157.2961
566,150.7365
590,153.5634
599,154.1073
612,151.4167
630,98.8972
667,153.1384
677,155.0132
694,150.9398
699,95.20216
701,152.9146
726,102.182
728,83.08527
734,95.70426
766,151.6121
821,103.5665
822,156.1069
869,151.3998
871,156.7554
877,151.0783
886,153.9993
912,153.6966
924,99.92383
960,153.3153
990,103.5828
1023,98.30262
1046,160.8831
1078,101.2876
1115,151.3579
1181,99.97124
1184,103.6594
1189,102.5494
1214,103.3615
1236,158.7833
1242,102.4998
1245,100.1982
1272,95.18466
1287,102.93
1292,102.4047
1325,158.7993
1326,103.1971
1333,162.8737
1344,96.52385
1363,159.6644
1374,100.4089
1378,151.3435
1390,99.36058
1417,151.4509
1429,100.5991
1433,90.29334
1436,154.0757
1449,154.8178
1450,151.9248
1455,154.6002
1495,102.8468
1517,95.80713
1518,152.9084
1524,153.5447
1727,94.51219
1825,152.1776
1923,151.3939
1953,151.5925
2010,90.91793
2024,159.2724
2049,101.6217
2075,157.9626
2092,100.2532
2099,94.29987
2135,157.6149
2139,152.0527
2215,156.5442
2259,93.44115
2293,153.0286
2325,152.127
2330,101.4527
2335,151.2788
2368,102.5002
2379,101.1193
2398,101.2434
2415,151.4206
2467,154.9408
2482,153.9562
2486,90.6784
2488,101.8528
2491,157.2751
2493,102.5247
2495,156.3703
2499,155.2615
2519,98.05813
2549,102.4259
2592,151.9696
2603,98.05815
2621,93.78282
2652,88.04646
2700,156.353
2706,151.6868
2708,102.5237
2736,160.8859
2774,151.713
2791,94.21971
2797,97.02574
2805,150.9213
2819,97.04078
2873,100.2365
2939,103.455
2968,102.6336
3010,151.9596
3049,150.4434
3052,152.1525
3102,94.61233
3124,151.6437
3163,156.2465
3223,157.659
3237,153.9969
3254,99.51504
3285,155.7074
3348,100.7527
3370,153.6515
3371,155.869
3378,154.5701
3402,102.8549
3457,101.9139
3474,100.3696
3493,152.9847
3516,84.86345
3535,152.1181
3552,97.84025
3579,151.614
3586,99.27518
3588,151.548
3598,92.37513
3611,97.79781
3631,151.0354
3646,156.3537
3680,101.3305
3685,101.0513
3697,95.74545
3721,157.6543
3743,156.1101
3760,157.3486
3783,151.5436
3791,155.0882
3841,159.8542
3867,102.9057
3871,151.5781
3887,102.086
3892,151.933
3924,162.1526
3994,102.3817
4004,151.5006
4034,101.8479
4040,157.9877
4054,162.0645
4094,99.66224
4099,101.7777
4180,101.3328
4216,152.4615
4218,152.9883
4265,101.615
4344,168.881
4362,102.1079
4364,151.474
4378,152.901
4390,98.39409
4400,154.3787
4419,99.56439
4423,151.6764
4432,99.76986
4447,151.4922
4460,95.88791
4461,158.3578
4475,157.078
4510,102.7518
4523,100.9973
4579,103.7011
4605,150.847
4625,166.3016
4661,155.8502
4721,155.9981
4745,103.049
4766,153.0572
4785,97.8247
4869,152.1104
4871,102.7788
4880,102.6027
4942,155.3163
4991,159.3608
5004,159.9758
5009,160.0364
5030,151.0506
5039,101.2994
5046,98.28455
5076,151.1334
5101,157.0989
5234,99.29265
5247,101.0402
5285,158.2521
5286,101.8393
5308,151.3674
5309,150.9294
5367,86.982
5373,155.6063
5395,166.2812
5402,100.455
5423,100.9173
5439,103.4218
5453,93.29146
5467,92.65767
5475,102.5086
5515,102.8732
5520,154.97
5537,102.4825
5558,152.3984
5569,150.9046
5573,156.7309
5579,101.461
5587,157.4235
5617,153.9204
5626,151.6467
5699,97.85054
5706,86.669
5763,101.2648
5767,156.5556
5781,151.6654
5788,101.3587
5795,150.4973
5842,92.08858
5874,161.7266
5892,152.651
5933,151.7165
5973,102.342
5990,99.78213
6067,100.025
6108,153.3002
6112,155.9849
